city,cloudiness,country,date,humidity,lats,lngs,maxtemp,windspeed
Faanui,0,PF,08/24/2019,65,-16.48,-151.75,78.42,7.45
Klaksvik,34,FO,08/24/2019,93,62.23,-6.59,51.8,3.36
Carnarvon,0,ZA,08/24/2019,28,-30.97,22.13,52.37,7.56
Mweka,35,CD,08/24/2019,33,-4.85,21.56,71.99,3.02
New Norfolk,75,AU,08/24/2019,50,-42.78,147.06,52,11.41
Port Elizabeth,20,US,08/24/2019,87,39.31,-74.98,72,3.4
Saint-Philippe,1,CA,08/24/2019,93,45.36,-73.48,64.99,5.82
Aqtobe,0,KZ,08/24/2019,54,50.28,57.21,55.4,4.47
Arraial do Cabo,86,BR,08/24/2019,81,-22.97,-42.02,66.9,4.76
Lavrentiya,61,RU,08/24/2019,51,65.58,-170.99,58.89,9.6
Vaini,40,IN,08/24/2019,94,15.34,74.49,69.8,4.7
Karratha,10,AU,08/24/2019,15,-20.74,116.85,84.75,1.77
Hermanus,1,ZA,08/24/2019,85,-34.42,19.24,55.99,7
Avarua,88,CK,08/24/2019,74,-21.21,-159.78,78.8,11.41
Cape Town,40,ZA,08/24/2019,93,-33.93,18.42,57.99,10.29
Palora,69,EC,08/24/2019,73,-1.7,-77.97,62.54,3.74
Rikitea,64,PF,08/24/2019,69,-23.12,-134.97,70.25,21.27
Butaritari,81,KI,08/24/2019,68,3.07,172.79,84.92,6.91
Chokurdakh,100,RU,08/24/2019,85,70.62,147.9,56.82,4.34
Mataura,100,NZ,08/24/2019,96,-46.19,168.86,48,4
Esperance,100,AU,08/24/2019,66,-33.86,121.89,51.8,8.05
Shenjiamen,100,CN,08/24/2019,83,29.96,122.3,83.71,17.96
East London,0,ZA,08/24/2019,36,-33.02,27.91,60.31,4.47
Timmins,40,CA,08/24/2019,76,48.48,-81.33,53.6,4.43
Ushuaia,40,AR,08/24/2019,70,-54.81,-68.31,42.8,3.36
Kodiak,90,US,08/24/2019,73,39.95,-94.76,70,10.29
Ribeira Grande,5,PT,08/24/2019,79,38.52,-28.7,69.51,15.35
Trelew,67,AR,08/24/2019,53,-43.25,-65.31,54.44,18.05
Busselton,0,AU,08/24/2019,43,-33.64,115.35,62.01,8.3
Sivas,40,TR,08/24/2019,93,39.75,37.01,52,2.24
Muncar,63,ID,08/24/2019,60,-8.43,114.34,80.79,5.59
Atuona,0,PF,08/24/2019,70,-9.8,-139.03,79.43,13.13
Kropotkin,75,RU,08/24/2019,39,45.43,40.58,82,8.43
Ponta Delgada,75,PT,08/24/2019,94,37.73,-25.67,71.01,12.75
Cidreira,35,BR,08/24/2019,74,-30.17,-50.22,57.21,12.03
Maun,0,BW,08/24/2019,26,-19.99,23.42,57.2,9.17
Bethel,75,US,08/24/2019,48,60.79,-161.76,62.6,6.93
Hilo,90,US,08/24/2019,66,19.71,-155.08,84.2,8.05
Sakaiminato,75,JP,08/24/2019,65,35.55,133.23,80.6,9.17
Tallahassee,75,US,08/24/2019,74,30.44,-84.28,84.99,4.7
Batagay,92,RU,08/24/2019,58,67.65,134.64,62.94,5.3
Jamestown,90,AU,08/24/2019,58,-33.21,138.6,49.51,7.43
San Patricio,0,PY,08/24/2019,74,-26.98,-56.83,57.21,5.68
Upernavik,100,GL,08/24/2019,68,72.79,-56.15,43.03,9.98
Saldanha,75,PT,08/24/2019,46,41.42,-6.55,67.1,2.28
Kosonsoy,0,UZ,08/24/2019,43,41.25,71.55,69.8,2.24
Khatanga,20,RU,08/24/2019,70,71.98,102.47,59.45,7.45
Lasa,40,CY,08/24/2019,73,34.92,32.53,80.6,6.93
Dzhebariki-Khaya,67,RU,08/24/2019,74,62.22,135.8,65.44,4.61
Tiksi,94,RU,08/24/2019,88,71.64,128.87,49.02,13.35
Koulamoutou,100,GA,08/24/2019,96,-1.13,12.47,69.24,1.36
Paamiut,0,GL,08/24/2019,85,61.99,-49.67,41.88,20.62
Torbay,75,CA,08/24/2019,70,47.66,-52.73,53.01,12.75
Namtsy,20,RU,08/24/2019,82,62.72,129.66,60.8,4.47
Puerto Ayora,89,EC,08/24/2019,91,-0.74,-90.35,70,5.01
Lovozero,100,RU,08/24/2019,92,68.01,35.02,41.63,5.37
Vanimo,99,PG,08/24/2019,72,-2.67,141.3,83.01,8.46
Qaqortoq,0,GL,08/24/2019,29,60.72,-46.03,51.8,20.8
Yichun,78,CN,08/24/2019,66,47.72,128.88,70.17,3.42
Souillac,75,FR,08/24/2019,93,45.6,-0.6,66.2,11.41
Ancud,20,CL,08/24/2019,93,-41.87,-73.83,44.6,4.7
Masunga,0,BW,08/24/2019,67,-20.62,27.45,50.82,7.74
Poum,0,MK,08/24/2019,68,41.28,20.71,59.37,4.09
Suntar,74,RU,08/24/2019,64,62.16,117.65,65.51,4.61
Tumut,0,AU,08/24/2019,48,-35.3,148.22,52.35,6.44
Yaan,99,NG,08/24/2019,97,7.38,8.57,71.13,4.21
Dutse,100,NG,08/24/2019,83,11.76,9.34,72.35,11.03
Bilma,10,NE,08/24/2019,55,18.69,12.92,84.75,3.85
Christchurch,1,NZ,08/24/2019,39,-43.53,172.64,64.99,10.29
Mahebourg,75,MU,08/24/2019,88,-20.41,57.7,69.8,14.99
Albany,75,US,08/24/2019,63,42.65,-73.75,66.99,8.05
Kingisepp,43,RU,08/24/2019,95,59.38,28.61,51.36,2.35
Kinwat,100,IN,08/24/2019,86,19.62,78.2,75.36,9.64
Lorengau,100,PG,08/24/2019,74,-2.02,147.27,84.3,11.83
Petropavlovsk-Kamchatskiy,90,RU,08/24/2019,100,53.05,158.65,50,6.71
Alta,94,NO,08/24/2019,81,69.97,23.27,42.8,12.75
Vila Franca do Campo,75,PT,08/24/2019,94,37.72,-25.43,71.01,12.75
Eydhafushi,98,MV,08/24/2019,77,5.1,73.07,82,13.96
Punta Arenas,0,CL,08/24/2019,86,-53.16,-70.91,41,14.99
Dingle,100,PH,08/24/2019,70,11,122.67,85.87,6.87
Sakaraha,0,MG,08/24/2019,74,-22.91,44.53,57.47,4.94
Qaanaaq,100,GL,08/24/2019,76,77.48,-69.36,35.52,12.73
Tura,56,RU,08/24/2019,46,64.27,100.22,66.09,7.34
Tecoanapa,75,MX,08/24/2019,79,16.99,-99.26,86,3.36
Dordrecht,89,NL,08/24/2019,100,51.8,4.68,66,1.12
Arcata,1,US,08/24/2019,77,40.87,-124.08,63,5.82
Hithadhoo,100,MV,08/24/2019,72,-0.6,73.08,82.49,11.27
Banjar,76,ID,08/24/2019,63,-7.37,108.54,79.73,4.74
Anori,13,BR,08/24/2019,89,-3.74,-61.66,74.28,1.36
Chumikan,100,RU,08/24/2019,83,54.72,135.31,51.58,5.3
Labuhan,98,ID,08/24/2019,39,-2.54,115.51,96.22,1.57
Camargo,46,MX,08/24/2019,53,27.69,-105.17,76.44,11.83
Biak,97,ID,08/24/2019,83,-0.91,122.88,69.45,5.64
Macenta,100,GN,08/24/2019,99,8.55,-9.47,67.42,2.71
The Valley,20,AI,08/24/2019,79,18.22,-63.06,84.2,13.87
Nikolskoye,29,RU,08/24/2019,93,59.7,30.79,55,2.24
Neryungri,41,RU,08/24/2019,46,56.66,124.71,73.09,6.04
Tasiilaq,100,GL,08/24/2019,75,65.61,-37.64,44.6,16.11
Avera,90,US,08/24/2019,83,33.19,-82.53,77,8.05
Port Lincoln,90,AU,08/24/2019,74,-34.72,135.86,52.37,12.15
Bluff,4,AU,08/24/2019,40,-23.58,149.07,72.46,2.98
Bongandanga,100,CD,08/24/2019,99,1.51,21.07,68.9,4.23
Methoni,0,GR,08/24/2019,77,36.82,21.7,79,2.24
Santa Isabel do Rio Negro,7,BR,08/24/2019,87,-0.41,-65.02,74.84,2.48
Sept-Iles,5,CA,08/24/2019,71,50.2,-66.38,55.99,8.05
Pevek,26,RU,08/24/2019,73,69.7,170.27,44.79,8.03
Waipawa,0,NZ,08/24/2019,70,-39.94,176.59,57,10
Bintulu,75,MY,08/24/2019,88,3.17,113.03,82.4,5.82
Geraldton,75,CA,08/24/2019,67,49.72,-86.95,59,9.17
Hasaki,20,JP,08/24/2019,65,35.73,140.83,86,8.05
Nsoko,0,ZA,08/24/2019,15,-27.07,31.93,55,6.2
Caravelas,66,BR,08/24/2019,83,-17.73,-39.27,70.41,8.08
Maragogi,33,BR,08/24/2019,96,-9.01,-35.22,68.9,2.3
Mutsu,75,JP,08/24/2019,68,41.29,141.2,75.99,10.29
Gamba,0,CN,08/24/2019,52,28.28,88.52,46.56,4.41
Kangaba,100,ML,08/24/2019,98,11.94,-8.41,69.9,3.85
Seoul,20,KR,08/24/2019,65,37.57,126.98,82.4,2.24
Kavieng,83,PG,08/24/2019,77,-2.57,150.8,82.58,12.77
Itarema,1,BR,08/24/2019,85,-2.92,-39.92,74.87,9.6
Codrington,6,AU,08/24/2019,38,-28.95,153.24,77,8.05
Longyearbyen,75,NO,08/24/2019,80,78.22,15.63,39.2,6.93
Nizhniy Ingash,100,RU,08/24/2019,97,56.2,96.53,55.68,7.58
Guadalupe y Calvo,30,MX,08/24/2019,91,26.09,-106.96,57.21,3
Saint George,0,GR,08/24/2019,68,39.45,22.34,79,2.42
Moree,40,AU,08/24/2019,33,-29.46,149.84,73,8.05
Luderitz,0,NA,08/24/2019,18,-26.65,15.16,71.6,2.24
Kaka,0,TM,08/24/2019,14,37.35,59.62,78.72,2.35
Prince Rupert,40,CA,08/24/2019,93,54.32,-130.32,57.2,4.7
Dudinka,75,RU,08/24/2019,93,69.41,86.18,55.4,8.95
Bemidji,1,US,08/24/2019,72,47.48,-94.89,64.99,9.17
Aquiraz,40,BR,08/24/2019,83,-3.9,-38.39,79,14.99
Katherine,88,AU,08/24/2019,32,-14.47,132.26,82.4,8.05
Georgetown,20,GY,08/24/2019,78,6.8,-58.16,82.4,9.17
Srednekolymsk,100,RU,08/24/2019,72,67.46,153.71,63.28,6.69
Tuktoyaktuk,90,CA,08/24/2019,93,69.44,-133.03,42.8,20.8
Kamaishi,75,JP,08/24/2019,65,39.28,141.86,77,5.82
Hudiksvall,100,SE,08/24/2019,83,61.73,17.1,52.79,2.86
Victoria,75,BN,08/24/2019,78,5.28,115.24,84.2,3.36
Kapaa,90,US,08/24/2019,66,22.08,-159.32,89.6,13.87
Buala,100,SB,08/24/2019,89,-8.15,159.59,76.13,8.41
Soe,0,EE,08/24/2019,93,57.91,26.05,51.01,4.7
Khvoynaya,5,RU,08/24/2019,98,58.9,34.53,48.99,5.61
Fort Nelson,75,CA,08/24/2019,42,58.81,-122.69,68,2.24
Okhotsk,100,RU,08/24/2019,78,59.36,143.24,57.7,11.14
Laguna,20,BZ,08/24/2019,83,16.17,-88.94,82.4,2.91
Kahului,90,US,08/24/2019,69,20.89,-156.47,89.6,6.93
Virginia Beach,90,US,08/24/2019,83,36.85,-75.98,73.99,11.41
Rovaniemi,0,FI,08/24/2019,87,66.5,25.72,46.4,6.93
Dikson,100,RU,08/24/2019,96,73.51,80.55,40.73,12.88
Nantucket,1,US,08/24/2019,82,41.28,-70.1,66.99,10.29
Zhigansk,5,RU,08/24/2019,45,66.77,123.37,65.69,6.4
Ponta do Sol,0,BR,08/24/2019,65,-20.63,-46,58.28,5.73
Wewak,7,PG,08/24/2019,67,-3.55,143.63,83.6,6.93
Takoradi,100,GH,08/24/2019,91,4.89,-1.75,73.16,4.09
Vardo,1,US,08/24/2019,67,39.62,-77.74,66,3.36
Praia da Vitoria,20,PT,08/24/2019,77,38.73,-27.07,69.8,15.61
Haines Junction,100,CA,08/24/2019,81,60.75,-137.51,44.36,3.18
Port Alfred,0,ZA,08/24/2019,58,-33.59,26.89,62.01,3
Wanning,96,AT,08/24/2019,88,48.64,13.53,66,2.24
Hobart,75,AU,08/24/2019,50,-42.88,147.33,52,11.41
Richards Bay,0,ZA,08/24/2019,52,-28.77,32.06,69.13,19.95
Rio Cuarto,0,AR,08/24/2019,71,-33.13,-64.35,53.6,5.82
Bambous Virieux,75,MU,08/24/2019,88,-20.34,57.76,69.8,14.99
Turukhansk,97,RU,08/24/2019,78,65.8,87.96,60.18,13.6
Tevaitoa,20,PF,08/24/2019,66,-16.78,-151.5,78.11,6.13
Aklavik,90,CA,08/24/2019,57,68.22,-135.01,50,9.17
Plouzane,90,FR,08/24/2019,100,48.38,-4.62,64,3.36
Norman Wells,75,CA,08/24/2019,66,65.28,-126.83,53.6,9.17
Tymovskoye,98,RU,08/24/2019,82,50.85,142.66,55.63,4.61
Kirovskiy,84,RU,08/24/2019,76,45.09,133.51,66.86,6.42
Vung Tau,82,VN,08/24/2019,72,10.35,107.08,85.35,8.95
Aksarka,100,RU,08/24/2019,66,66.56,67.8,45.46,14.81
Mareeba,90,AU,08/24/2019,65,-16.99,145.42,78.01,11.41
Sola,99,TZ,08/24/2019,57,-3.17,33.8,68.28,8.84
Saskylakh,99,RU,08/24/2019,79,71.97,114.09,55.18,4.97
Deputatskiy,41,RU,08/24/2019,64,69.3,139.9,58.62,9.35
Ruwi,0,OM,08/24/2019,70,23.6,58.55,86,6.93
Chicaman,12,GT,08/24/2019,94,15.4,-90.73,58.51,2.89
Aswan,0,EG,08/24/2019,26,24.09,32.9,84.2,4.7
Waldoboro,90,US,08/24/2019,82,44.1,-69.38,64.4,2.95
Westport,75,US,08/24/2019,72,41.14,-73.36,69.01,2.57
Cherskiy,97,RU,08/24/2019,32,68.75,161.3,69.98,4.05
Thompson,90,CA,08/24/2019,93,55.74,-97.86,66.2,6.93
Grand-Lahou,100,CI,08/24/2019,97,5.24,-5,71.94,3.56
Luanda,40,AO,08/24/2019,100,-8.83,13.24,68,2.24
Ikom,100,NG,08/24/2019,98,5.96,8.72,71.16,1.03
Los Llanos de Aridane,0,ES,08/24/2019,88,28.66,-17.92,86,18.34
Burayevo,71,RU,08/24/2019,82,55.84,55.41,55.99,9.44
Cayenne,0,GF,08/24/2019,94,4.94,-52.33,75.2,2.28
Kaitangata,100,NZ,08/24/2019,65,-46.28,169.85,53.01,11.01
Fortuna,1,US,08/24/2019,77,40.6,-124.16,63,11.41
Portland,75,US,08/24/2019,77,43.66,-70.25,66,2.84
Sao Filipe,48,CV,08/24/2019,85,14.9,-24.5,78.65,13.8
Airai,0,TL,08/24/2019,47,-8.93,125.41,82.29,6.2
Kruisfontein,0,ZA,08/24/2019,63,-34,24.73,52.12,5.73
Tshela,83,CD,08/24/2019,87,-4.99,12.94,67.8,0.18
Sinnamary,1,GF,08/24/2019,71,5.38,-52.96,82.38,7.05
Bacolod,100,PH,08/24/2019,79,10.68,122.95,82.2,4.79
Jiuquan,56,CN,08/24/2019,25,39.73,98.49,74.1,2.08
Camacha,40,PT,08/24/2019,78,33.08,-16.33,71.6,11.41
Kaspiyskiy,100,RU,08/24/2019,61,45.39,47.37,77.59,6.67
Moindou,75,NC,08/24/2019,47,-21.69,165.68,75.2,9.17
Soeng Sang,40,TH,08/24/2019,88,14.43,102.46,84.99,5.82
Goderich,0,CA,08/24/2019,79,43.74,-81.71,64,5.01
Barrow,68,AR,08/24/2019,79,-38.31,-60.23,53.22,14.47
Shahreza,0,IR,08/24/2019,23,32.01,51.87,58.4,2.75
Urubicha,22,BO,08/24/2019,42,-15.63,-63.08,76.26,2.17
Yazman,0,SY,08/24/2019,35,36.74,38.46,76.47,9.1
Wankaner,70,IN,08/24/2019,10,22.62,70.95,82,10.45
Sestri Levante,0,IT,08/24/2019,65,44.27,9.41,77,5.82
Kloulklubed,90,PW,08/24/2019,88,7.04,134.26,78.8,13.87
San Cristobal,8,HN,08/24/2019,84,14.68,-86.92,68.82,4.54
Umm Lajj,0,SA,08/24/2019,77,25.02,37.27,86.25,10.71
Ambanja,45,MG,08/24/2019,82,-13.68,48.45,76.44,4.41
Sur,0,OM,08/24/2019,43,22.57,59.53,87.54,5.17
Faya,5,SA,08/24/2019,88,18.39,42.45,68,1.16
Houma,98,CN,08/24/2019,78,35.63,111.36,73,9.33
Cloquet,1,US,08/24/2019,82,46.72,-92.46,66.2,5.21
Micheweni,0,TZ,08/24/2019,83,-4.97,39.83,76.01,15.23
Lebu,6,ET,08/24/2019,84,8.96,38.73,51.04,2.89
Yerbogachen,100,RU,08/24/2019,62,61.28,108.01,63.6,5.73
Provideniya,67,RU,08/24/2019,56,64.42,-173.23,55.14,5.61
Anadyr,40,RU,08/24/2019,63,64.73,177.51,64.4,4.47
Nsanje,39,MZ,08/24/2019,97,-16.92,35.26,63.78,2.44
Manbij,0,SY,08/24/2019,37,36.53,37.96,69.8,1.12
Nam Som,40,TH,08/24/2019,83,17.77,102.19,82.4,2.24
Dhidhdhoo,100,MV,08/24/2019,81,6.88,73.1,81.01,15.95
Rio Gallegos,0,AR,08/24/2019,80,-51.62,-69.22,35.6,6.93
Yellowknife,20,CA,08/24/2019,67,62.45,-114.38,60.8,2.24
Guerrero Negro,4,MX,08/24/2019,79,27.97,-114.04,74.66,9.62
Maceio,75,BR,08/24/2019,94,-9.67,-35.74,73.4,3.36
Nerchinsk,0,RU,08/24/2019,59,51.98,116.59,71.13,2.19
Brae,100,GB,08/24/2019,93,60.4,-1.35,57.2,13.87
Port Hawkesbury,1,CA,08/24/2019,76,45.62,-61.36,60.01,5.82
Mitsamiouli,0,KM,08/24/2019,80,-11.38,43.28,77.25,15.19
Iquitos,75,PE,08/24/2019,88,-3.75,-73.25,75.2,2.24
Gobabis,0,NA,08/24/2019,16,-22.45,18.97,59,4.7
Taltal,100,CL,08/24/2019,87,-25.41,-70.49,51.26,3.76
Coffs Harbour,0,AU,08/24/2019,31,-30.3,153.13,79,11.41
Hamilton,20,CA,08/24/2019,67,43.26,-79.87,64.4,2.24
Kosh-Agach,0,RU,08/24/2019,57,49.99,88.66,48.97,2.15
Bundaberg,40,AU,08/24/2019,40,-24.87,152.35,73.99,4.7
Dawlatabad,0,AF,08/24/2019,24,36.41,64.91,74.66,7.29
Lompoc,1,US,08/24/2019,77,34.64,-120.46,75.99,11.41
Ruteng,1,ID,08/24/2019,48,-8.61,120.46,86.27,6.76
Camopi,11,GF,08/24/2019,99,3.17,-52.33,70.8,2.68
Hami,22,CN,08/24/2019,24,42.84,93.51,80.63,14.79
Dubbo,0,AU,08/24/2019,16,-32.25,148.6,69.8,4.7
Sao Jose da Coroa Grande,33,BR,08/24/2019,96,-8.9,-35.15,68.9,2.3
Shingu,40,JP,08/24/2019,78,33.72,135.99,77,8.05
Port Hardy,90,CA,08/24/2019,100,50.7,-127.42,57.2,4.7
Umm Bab,1,QA,08/24/2019,84,25.21,50.81,89.6,3.36
Bay Roberts,75,CA,08/24/2019,70,47.58,-53.28,53.01,12.75
Castro,20,CL,08/24/2019,93,-42.48,-73.76,44.6,4.7
Thinadhoo,100,MV,08/24/2019,72,0.53,72.93,82.67,9.28
Henties Bay,0,NA,08/24/2019,50,-22.12,14.28,66,3
Mar del Plata,43,AR,08/24/2019,69,-46.43,-67.52,45.37,17.72
Bredasdorp,0,ZA,08/24/2019,87,-34.53,20.04,48.2,5.82
Pozoblanco,0,ES,08/24/2019,60,38.38,-4.85,73.4,4.7
Porto Novo,75,BR,08/24/2019,82,-23.68,-45.44,59,8.05
Liverpool,0,GB,08/24/2019,77,53.41,-2.98,68,8.05
Leningradskiy,76,RU,08/24/2019,87,69.38,178.42,42.51,8.25
Atar,19,MR,08/24/2019,45,20.52,-13.05,82.23,10.89
Cabo San Lucas,20,MX,08/24/2019,78,22.89,-109.91,84,3.36
Saint-Francois,0,FR,08/24/2019,93,46.42,3.91,57.2,1.12
Ahipara,91,NZ,08/24/2019,88,-35.17,173.16,62.01,17.92
Acari,63,BR,08/24/2019,68,-6.44,-36.64,74.26,23.94
Te Anau,100,NZ,08/24/2019,87,-45.41,167.72,42.47,6.58
Ladario,100,PT,08/24/2019,88,40.7,-7.74,66.99,1.97
Lima,90,PE,08/24/2019,87,-12.06,-77.04,59,8.05
Hofn,83,IS,08/24/2019,73,64.25,-15.21,38.03,7.61
Hambantota,75,LK,08/24/2019,100,6.12,81.12,78.8,6.93
Ketchikan,40,US,08/24/2019,67,55.34,-131.65,64.4,13.87
Narsaq,0,GL,08/24/2019,29,60.91,-46.05,51.8,20.8
La Ronge,40,CA,08/24/2019,88,55.1,-105.3,62.6,4.7
Marzuq,27,YE,08/24/2019,39,14.4,46.47,78.11,4.74
