city,cloudiness,country,date,humidity,lats,lngs,maxtemp,windspeed
Pisco,90,PE,08/24/2019,82,-13.71,-76.2,60.8,12.75
Minot,1,US,08/24/2019,69,48.23,-101.3,75.2,11.41
Ulladulla,40,AU,08/24/2019,55,-35.36,150.48,63,13.87
Sukhobuzimskoye,40,RU,08/24/2019,87,56.5,93.28,59,11.18
Dunyapur,40,PK,08/24/2019,70,29.8,71.74,86,6.93
Tezu,0,IN,08/24/2019,53,27.93,96.16,87.35,2.17
Pangnirtung,99,CA,08/24/2019,74,66.15,-65.72,40.87,6.04
Kivsharivka,0,UA,08/24/2019,62,49.63,37.68,58.71,8.37
Mandalgovi,83,MN,08/24/2019,41,45.76,106.27,65.67,16.82
Iqaluit,75,CA,08/24/2019,76,63.75,-68.52,48.2,9.17
Lantawan,75,PH,08/24/2019,66,10.62,123.98,86,6.93
Itapolis,0,BR,08/24/2019,68,-21.6,-48.81,60.67,13.73
Alyangula,100,AU,08/24/2019,48,-13.85,136.42,82.4,9.17
Lazaro Cardenas,75,MX,08/24/2019,54,28.39,-105.62,78.8,9.17
Lipin Bor,99,RU,08/24/2019,94,60.26,37.97,51.17,6.8
Arman,100,RU,08/24/2019,86,59.7,150.17,53.06,4.76
Biltine,100,TD,08/24/2019,76,14.53,20.93,78.49,1.9
Rio Grande,100,BR,08/24/2019,82,-32.03,-52.1,55.99,1.01
Winslow,73,GB,08/24/2019,87,51.94,-0.88,64,4.7
Wufeng,1,CN,08/24/2019,73,27.44,104.87,72.15,5.64
Zaltan,0,LY,08/24/2019,69,32.95,11.87,75.99,9.46
Luba,100,PH,08/24/2019,70,17.32,120.7,85.53,7.61
Kysyl-Syr,11,RU,08/24/2019,66,63.9,122.77,64.56,5.26
Melbu,100,NO,08/24/2019,85,68.5,14.83,51.01,7.85
Sindor,100,RU,08/24/2019,96,62.87,51.9,49.29,8.12
Burnie,58,AU,08/24/2019,44,-41.05,145.91,55,8.01
Bandarbeyla,0,SO,08/24/2019,63,9.49,50.81,78.24,25.72
Poronaysk,60,RU,08/24/2019,63,49.22,143.1,61.61,5.61
Glendive,1,US,08/24/2019,64,47.11,-104.71,78.8,3.36
Nome,1,US,08/24/2019,83,30.04,-94.42,84,5.75
Denizli,0,TR,08/24/2019,60,37.77,29.09,72,5.82
Necochea,34,AR,08/24/2019,79,-38.55,-58.74,48,11.99
Kimbe,99,PG,08/24/2019,61,-5.56,150.15,86.82,8.1
Broken Hill,5,AU,08/24/2019,40,-31.97,141.45,51.8,18.34
Dalby,18,AU,08/24/2019,40,-27.18,151.26,73.99,10.29
Banamba,86,ML,08/24/2019,97,13.55,-7.45,69.27,7.47
Clyde River,98,CA,08/24/2019,65,70.47,-68.59,45.42,3.67
Tel Aviv-Yafo,40,IL,08/24/2019,78,32.08,34.78,78.8,4.7
Ugoofaaru,80,MV,08/24/2019,77,5.67,73,82.22,15.46
Le Port,0,FR,08/24/2019,70,42.87,1.37,66.99,2.93
Yamethin,82,MM,08/24/2019,83,20.43,96.14,79.57,8.16
Nerchinskiy Zavod,0,RU,08/24/2019,52,51.31,119.61,71.87,4.45
Strandby,0,DK,08/24/2019,97,57.49,10.5,57,4.72
Axim,100,GH,08/24/2019,88,4.87,-2.24,75.2,8.5
Shache,99,CN,08/24/2019,25,38.42,77.24,80.56,3.38
Kefamenanu,0,ID,08/24/2019,27,-9.45,124.48,90.32,5.99
Bani,63,YE,08/24/2019,80,16.02,42.93,86.81,7.85
Bowen,6,AU,08/24/2019,60,-20.01,148.25,77,12.75
Pritzwalk,0,DE,08/24/2019,66,53.15,12.18,68,3
Inhambane,0,MZ,08/24/2019,93,-23.87,35.38,56.87,2.53
Eureka,1,US,08/24/2019,77,40.8,-124.16,63,5.82
Hay River,40,CA,08/24/2019,87,60.82,-115.79,55.4,8.05
Lluta,0,PE,08/24/2019,24,-16.02,-72.01,55.4,4.7
Dingzhou,0,CN,08/24/2019,73,38.51,115,73.4,2.24
Roswell,1,US,08/24/2019,26,33.39,-104.52,98.6,12.75
Timbuktu,44,ML,08/24/2019,54,16.77,-3.01,86.99,11.01
Ailigandi,94,PA,08/24/2019,84,9.23,-78.02,82.45,7.05
Pacific Grove,75,US,08/24/2019,72,36.62,-121.92,81,4.7
Teguldet,80,RU,08/24/2019,94,57.31,88.17,59.09,8.16
Yar-Sale,100,RU,08/24/2019,72,66.83,70.83,46.25,19.01
Chuy,100,UY,08/24/2019,82,-33.69,-53.46,53.04,10.87
Zaysan,0,KZ,08/24/2019,39,47.47,84.87,65.66,4.72
Puerto Colombia,75,CO,08/24/2019,78,10.99,-74.96,80.6,6.93
Margate,75,AU,08/24/2019,50,-43.03,147.26,52,11.41
Sheridan,75,US,08/24/2019,30,39.65,-105.03,78.01,8.05
Samarai,99,PG,08/24/2019,87,-10.62,150.67,74.06,7.4
Baykit,58,RU,08/24/2019,48,61.68,96.39,63.14,6.53
Padang,100,ID,08/24/2019,80,-0.92,100.36,80.07,13.11
Atbasar,100,KZ,08/24/2019,73,51.81,68.36,62.94,7.96
Severo-Kurilsk,100,RU,08/24/2019,90,50.68,156.12,48.79,43.66
Namibe,67,AO,08/24/2019,82,-15.19,12.15,67.24,4.97
Santa Fe,100,AR,08/24/2019,66,-31.62,-60.7,60.01,1.99
Tiruchchendur,40,IN,08/24/2019,70,8.48,78.12,84.2,6.93
Yulara,0,AU,08/24/2019,48,-25.24,130.99,62.6,12.75
Raudeberg,100,NO,08/24/2019,77,61.99,5.14,64,23.04
Grand Baie,75,MU,08/24/2019,88,-20.02,57.58,69.8,14.99
Makakilo City,90,US,08/24/2019,58,21.35,-158.09,89.6,14.99
Talcahuano,90,CL,08/24/2019,100,-36.72,-73.12,51.8,5.82
Kragujevac,40,RS,08/24/2019,100,44.01,20.91,68,3.36
Nanortalik,94,GL,08/24/2019,72,60.14,-45.24,42.96,2.21
Loiza,20,PR,08/24/2019,83,18.43,-65.88,82.99,9.17
Nemuro,20,JP,08/24/2019,64,43.32,145.57,69.8,11.41
Galle,97,GN,08/24/2019,98,10.08,-12.83,69.54,3.51
Pundaguitan,100,PH,08/24/2019,73,6.37,126.17,82.65,4.34
Katsuura,75,JP,08/24/2019,54,33.93,134.5,82.99,6.93
Ukiah,1,US,08/24/2019,24,39.15,-123.21,93.2,6.93
Hervey Bay,40,AU,08/24/2019,40,-25.3,152.85,73.99,4.7
Sao Joao da Barra,19,BR,08/24/2019,94,-21.64,-41.05,62.63,3.11
Chegdomyn,15,RU,08/24/2019,55,51.13,133.04,70.48,3.94
Lidzbark Warminski,0,PL,08/24/2019,92,54.13,20.58,57.21,3.94
Talnakh,75,RU,08/24/2019,93,69.49,88.39,55.4,8.95
Zhytomyr,34,UA,08/24/2019,67,50.26,28.67,55.22,5.82
Diego de Almagro,100,CL,08/24/2019,81,-26.39,-70.05,52.44,1.32
Adrar,0,DZ,08/24/2019,16,27.87,-0.29,91.4,8.05
Pochutla,75,MX,08/24/2019,74,15.74,-96.47,84.2,2.13
Lethem,2,GY,08/24/2019,80,3.38,-59.8,77.63,7.25
Kidal,37,ML,08/24/2019,56,18.44,1.41,85.33,6.71
Lagoa,0,PT,08/24/2019,94,37.14,-8.45,73,4.7
Zhezkazgan,0,KZ,08/24/2019,47,47.8,67.71,59,4.47
Alofi,38,NU,08/24/2019,74,-19.06,-169.92,82.4,8.05
Scarborough,90,GB,08/24/2019,100,54.28,-0.41,59,1.12
Bud,100,NO,08/24/2019,77,62.91,6.91,62.6,12.75
Mount Gambier,40,AU,08/24/2019,71,-37.83,140.78,51.8,10.29
Ken Caryl,75,US,08/24/2019,31,39.58,-105.11,77,12.75
Amudat,4,UG,08/24/2019,80,1.95,34.95,64.95,4.47
Lucea,20,JM,08/24/2019,88,18.44,-78.17,80.6,2.24
Grindavik,75,IS,08/24/2019,81,63.84,-22.43,50,8.05
Ferraz de Vasconcelos,75,BR,08/24/2019,93,-23.54,-46.37,59,5.82
Neuquen,0,AR,08/24/2019,76,-38.95,-68.06,53.6,13.89
Kichera,100,RU,08/24/2019,85,55.93,110.1,57.07,7.63
Doka,100,SD,08/24/2019,85,13.52,35.76,71.79,6.69
Nizhnyaya Omka,0,RU,08/24/2019,68,55.43,74.94,60.09,8.5
Pitimbu,20,BR,08/24/2019,100,-7.47,-34.81,73.4,9.17
San Jose de Rio Tinto,0,HN,08/24/2019,97,14.93,-85.7,66.34,2.33
Kodinsk,100,RU,08/24/2019,97,58.6,99.18,53.92,5.3
Taoudenni,70,ML,08/24/2019,40,22.68,-3.98,89.96,6.31
Bambanglipuro,99,ID,08/24/2019,83,-7.95,110.28,74.73,8.14
Sainte-Anne-des-Monts,0,CA,08/24/2019,67,49.13,-66.49,58.8,17.38
Pozo Colorado,0,PY,08/24/2019,44,-23.49,-58.8,71.6,8.05
Comodoro Rivadavia,0,AR,08/24/2019,81,-45.87,-67.48,50,3.36
Diffa,65,NE,08/24/2019,76,13.32,12.61,75.05,9.51
Chitapur,97,IN,08/24/2019,77,17.12,77.08,76.8,12.93
Ust-Maya,71,RU,08/24/2019,58,60.42,134.54,72.03,2.26
Novobiryusinskiy,100,RU,08/24/2019,85,56.96,97.71,55.92,4.27
Fare,20,PF,08/24/2019,66,-16.7,-151.02,78.11,6.13
Ati,100,TD,08/24/2019,84,13.21,18.34,75.97,8.9
Zonguldak,0,TR,08/24/2019,84,41.25,31.83,73.7,5.14
Eisenerz,65,AT,08/24/2019,96,47.54,14.89,64,1.01
Obigarm,0,TJ,08/24/2019,34,38.72,69.71,52.61,0.45
Vestmannaeyjar,100,IS,08/24/2019,86,63.44,-20.27,50.27,6.02
Havoysund,0,NO,08/24/2019,80,71,24.66,39.2,14.99
Jos,100,NG,08/24/2019,96,9.92,8.9,66.63,7.83
Brigantine,1,US,08/24/2019,77,39.41,-74.36,71.01,3.36
Bantou,99,CN,08/24/2019,73,26.22,117.49,80.81,10.25
Bonavista,0,CA,08/24/2019,70,48.65,-53.11,50.57,9.6
Solnechnyy,100,RU,08/24/2019,60,50.72,136.64,67.37,3.33
Isangel,75,VU,08/24/2019,60,-19.55,169.27,71.6,10.29
Uvat,54,RU,08/24/2019,84,59.14,68.9,54.28,6.15
Manggar,91,ID,08/24/2019,61,-2.88,108.27,85.08,8.57
Opuwo,0,NA,08/24/2019,17,-18.06,13.84,53.9,6.22
Vryburg,0,ZA,08/24/2019,26,-26.96,24.73,50.36,7.92
Cairns,90,AU,08/24/2019,65,-16.92,145.77,78.01,11.41
Balti,0,MD,08/24/2019,77,47.76,27.93,66.99,3.36
Miraflores,0,PE,08/24/2019,24,-16.39,-71.52,55.4,4.7
Ecoporanga,4,BR,08/24/2019,93,-18.37,-40.83,62.61,2.71
Saint Anthony,1,US,08/24/2019,27,43.97,-111.68,82.4,6.93
Puerto Cabezas,100,NI,08/24/2019,94,14.04,-83.39,75.75,2.84
Port Moresby,20,PG,08/24/2019,58,-9.47,147.16,82.4,13.87
Sohna,90,IN,08/24/2019,88,28.25,77.07,89.01,4.7
Byron Bay,0,AU,08/24/2019,49,-28.65,153.62,78.01,16.11
Swan Hill,27,AU,08/24/2019,45,-35.34,143.56,55.47,10.04
Gat,20,SN,08/24/2019,78,14.69,-16.54,80.6,8.05
Puerto Penasco,0,MX,08/24/2019,80,31.32,-113.53,84.99,13
Coria,0,ES,08/24/2019,59,39.98,-6.54,66.99,2.57
Rehnan,0,IR,08/24/2019,27,32.68,51.6,53.6,4.7
Berlevag,64,NO,08/24/2019,70,70.86,29.09,44.04,7.11
Tawau,75,MY,08/24/2019,74,4.26,117.89,86,4.7
Phrae,40,TH,08/24/2019,94,18.14,100.15,90,1.39
Vostok,77,RU,08/24/2019,70,46.45,135.83,62.24,6.38
Khammam,100,IN,08/24/2019,81,17.25,80.15,78.87,6.44
Antalaha,53,MG,08/24/2019,98,-14.9,50.28,61.3,3.27
Gladstone,38,AU,08/24/2019,43,-23.84,151.26,71.6,5.82
Lakes Entrance,41,AU,08/24/2019,57,-37.88,147.99,57,8.81
Maracacume,27,BR,08/24/2019,95,-2.04,-45.96,71.2,3.65
Kangaatsiaq,0,GL,08/24/2019,64,68.31,-53.46,43.7,12.68
Gravdal,97,NO,08/24/2019,82,59.79,5.78,66.99,10.29
Niquero,11,CU,08/24/2019,73,20.04,-77.58,85.15,12.41
Teya,5,MX,08/24/2019,62,21.05,-89.07,84.99,5.82
Tilichiki,95,RU,08/24/2019,74,60.47,166.1,58.64,6.71
Morant Bay,20,JM,08/24/2019,66,17.88,-76.41,86,14.99
Ilhabela,100,BR,08/24/2019,74,-23.78,-45.36,66.45,9.8
Dunmore Town,100,BS,08/24/2019,80,25.5,-76.65,84.05,16.82
Huntsville,40,US,08/24/2019,83,34.73,-86.59,79,3.36
Touros,75,BR,08/24/2019,94,-5.2,-35.46,75.2,4.7
Zaozerne,0,UA,08/24/2019,80,51.37,23.94,55.81,5.12
Riyadh,0,SA,08/24/2019,16,24.63,46.72,86,6.93
Mecca,0,SA,08/24/2019,50,21.43,39.83,82.7,5.5
Jalu,0,LY,08/24/2019,55,29.03,21.55,76.15,10.65
Terrace,75,CA,08/24/2019,82,54.52,-128.61,60.8,13.87
Mahanoro,35,MG,08/24/2019,97,-19.9,48.8,61.08,2.17
Concarneau,75,FR,08/24/2019,100,47.88,-3.92,62.6,4.7
Sistranda,75,NO,08/24/2019,82,63.73,8.83,63,5.82
Uvalde,47,US,08/24/2019,83,29.21,-99.79,84,19.46
Vila do Maio,36,CV,08/24/2019,87,15.13,-23.22,76.53,8.23
Mwinilunga,27,ZM,08/24/2019,46,-11.73,24.43,55.25,8.03
Toledo,0,ES,08/24/2019,37,39.86,-4.02,77,6.64
Sioux City,1,US,08/24/2019,77,42.5,-96.41,69.8,11.41
Grand Gaube,75,MU,08/24/2019,88,-20.01,57.66,69.8,14.99
Nagycserkesz,93,HU,08/24/2019,88,47.96,21.55,68,8.05
San Rafael,0,AR,08/24/2019,45,-34.61,-68.33,56.82,4.63
Nizhniy Tsasuchey,100,RU,08/24/2019,93,50.52,115.13,58.71,6.29
Salacgriva,0,LV,08/24/2019,96,57.75,24.36,53.01,1.01
Wagar,59,US,08/24/2019,91,31.44,-87.99,81,3.22
Leh,0,IN,08/24/2019,46,34.16,77.58,47.21,0.89
Iaciara,2,BR,08/24/2019,42,-14.1,-46.63,71.49,2.15
Misratah,0,LY,08/24/2019,73,32.38,15.09,80.58,5.61
Mangrol,90,IN,08/24/2019,88,25.33,76.51,77,3.65
Warwick,0,US,08/24/2019,82,41.7,-71.42,64.99,9.17
Topolobampo,40,MX,08/24/2019,66,25.6,-109.05,87.01,4.7
Jacareacanga,100,BR,08/24/2019,63,-6.22,-57.76,77.55,1.68
Marakkanam,100,IN,08/24/2019,71,12.2,79.95,82.5,5.79
Aykhal,0,RU,08/24/2019,54,65.95,111.51,59,4.47
Bathsheba,40,BB,08/24/2019,78,13.22,-59.52,82.4,16.11
Lerici,0,IT,08/24/2019,88,44.07,9.91,77,4.7
Constitucion,90,MX,08/24/2019,63,23.99,-104.67,66.2,6.93
Livingston,1,US,08/24/2019,78,30.71,-94.93,84.99,6.93
Saint-Pierre,0,FR,08/24/2019,77,48.95,4.24,62.6,3.36
Barranca,100,PE,08/24/2019,91,-10.75,-77.76,58.22,11.3
Viedma,83,AR,08/24/2019,68,-40.81,-62.99,56.35,12.44
Half Moon Bay,5,US,08/24/2019,82,37.46,-122.43,78.01,11.41
Tooele,1,US,08/24/2019,22,40.53,-112.3,89.6,5.66
Mount Isa,0,AU,08/24/2019,13,-20.73,139.49,80.6,10.29
Sao Fidelis,11,BR,08/24/2019,97,-21.65,-41.75,61.66,0.49
Zeya,66,RU,08/24/2019,49,53.74,127.27,72.23,5.23
Muros,20,ES,08/24/2019,100,42.77,-9.06,64.99,2.24
Zhuanghe,0,CN,08/24/2019,47,39.7,122.97,77,1.99
Sobolevo,0,RU,08/24/2019,93,54.43,31.9,53.52,4.27
Tarakan,40,ID,08/24/2019,88,3.3,117.63,82.4,4.7
Brodina,0,RO,08/24/2019,93,47.88,25.43,60.01,3.09
Chimbote,66,PE,08/24/2019,93,-9.08,-78.59,59.16,10.94
Aguimes,0,ES,08/24/2019,83,27.91,-15.45,78.01,21.92
Sibu,75,MY,08/24/2019,88,2.29,111.83,78.8,6.93
Elizabeth City,90,US,08/24/2019,83,36.3,-76.22,73.99,6.93
Santa Catalina,100,UY,08/24/2019,85,-33.79,-57.49,50,9.31
Masindi,25,UG,08/24/2019,88,1.69,31.72,62.43,0.67
Khuzdar,0,PK,08/24/2019,41,27.8,66.62,77.05,3.8
Ambunti,89,PG,08/24/2019,53,-4.22,142.82,92.62,1.79
Wattegama,100,LK,08/24/2019,71,7.35,80.68,78.51,8.05
Belousovka,0,KZ,08/24/2019,87,50.13,82.52,55.4,2.48
Amguri,0,IN,08/24/2019,71,26.81,94.53,87.69,0.25
San Carlos de Bariloche,40,AR,08/24/2019,93,-41.13,-71.31,37.4,4.7
Bulgan,95,MN,08/24/2019,49,48.81,103.53,56.26,14.83
Khandbari,20,NP,08/24/2019,80,27.38,87.21,64.23,4.09
Khandyga,51,RU,08/24/2019,63,62.65,135.58,67.78,2.59
Gerash,0,IR,08/24/2019,47,27.67,54.14,78.8,3.24
Vao,54,EE,08/24/2019,93,59.1,26.19,52.32,4.23
Bama,96,CN,08/24/2019,59,24.14,107.25,88.35,4.09
Mandiana,100,GN,08/24/2019,97,10.62,-8.7,69.17,6.96
Auki,100,NG,08/24/2019,87,12.18,6.51,71.52,13.11
Gazojak,0,TM,08/24/2019,20,41.19,61.4,74.12,12.48
Lekoni,100,GA,08/24/2019,93,-1.58,14.26,69.09,5.37
Komsomolskiy,24,RU,08/24/2019,83,67.55,63.78,40.17,7.36
Svarstad,90,NO,08/24/2019,100,59.4,9.97,62.01,3.36
Lukovetskiy,75,RU,08/24/2019,93,64.29,41.92,44.6,4.47
Coquimbo,0,CL,08/24/2019,93,-29.95,-71.34,51.8,5.82
Undory,73,RU,08/24/2019,93,54.61,48.39,53.6,8.95
Atambua,0,ID,08/24/2019,72,-9.11,124.89,75.39,9.78
La Romana,40,DO,08/24/2019,83,18.43,-68.97,80.6,6.62
Dong Hoi,100,VN,08/24/2019,69,17.48,106.6,84.43,4.36
Saint-Augustin,5,CA,08/24/2019,77,45.63,-73.98,66.99,3.51
Tuatapere,100,NZ,08/24/2019,96,-46.13,167.69,46.99,4
Sitka,89,US,08/24/2019,70,37.17,-99.65,77,18.01
Kirksville,20,US,08/24/2019,64,40.19,-92.58,69.8,4.7
Mackay,75,CA,08/24/2019,76,53.65,-115.58,59,4.7
Winnemucca,1,US,08/24/2019,11,40.97,-117.74,95,14.99
Kargopol,69,RU,08/24/2019,96,61.51,38.95,48.9,6.24
Cascais,20,PT,08/24/2019,88,38.7,-9.42,66.99,5.82
Hashimoto,75,JP,08/24/2019,74,34.32,135.62,84.99,12.75
Arauca,75,VE,08/24/2019,100,7.08,-70.76,75.2,3.36
Nabinagar,75,BD,08/24/2019,83,23.88,90.97,82.4,8.05
Nokha,31,IN,08/24/2019,56,27.56,73.47,87.31,14.63
San Juan,0,AR,08/24/2019,41,-31.54,-68.53,49.2,1.57
Loudi,2,CN,08/24/2019,56,27.73,112,88.75,12.66
Gudari,100,IN,08/24/2019,85,19.34,83.79,77.43,1.72
Maua,58,KE,08/24/2019,81,0.23,37.94,47.94,6.42
Lomas de Sargentillo,0,EC,08/24/2019,73,-1.88,-80.08,75.2,10.29
Smithers,75,CA,08/24/2019,72,54.78,-127.17,60.8,4.79
Kibre Mengist,100,ET,08/24/2019,99,5.87,38.99,53.92,1.66
Matay,0,EG,08/24/2019,64,28.42,30.79,75.23,8.97
Oussouye,40,SN,08/24/2019,94,12.49,-16.54,78.8,2.24
Baniyas,0,SY,08/24/2019,83,35.18,35.94,75.2,4.7
Mapiripan,1,CO,08/24/2019,86,2.89,-72.13,73.36,4.32
Awjilah,0,LY,08/24/2019,70,29.14,21.3,74.22,12.19
Itapuranga,3,BR,08/24/2019,48,-15.56,-49.95,69.63,2.82
Kavaratti,100,IN,08/24/2019,78,10.57,72.64,81.62,19.77
Brynmawr,21,GB,08/24/2019,72,51.8,-3.17,64.99,4.7
Oak Harbor,1,US,08/24/2019,63,41.51,-83.15,69.01,7.27
Rome,0,IT,08/24/2019,64,41.89,12.48,75,4.7
Las Cruces,20,CL,08/24/2019,93,-33.5,-71.62,53.6,2.24
